,File,Time,Q
34,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--00898.csv,6.4876774e-06,5.7709168560000174e-11
35,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--00898.csv,1.2408477e-05,2.83445949799998e-11
36,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--00983.csv,1.2355039e-05,4.8615425429999784e-11
37,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--00985.csv,1.8989286e-07,-2.091578172999987e-11
38,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01024.csv,1.8136972e-06,4.3219188620000656e-11
39,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01024.csv,1.7936972e-06,4.2885856180000775e-11
40,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01024.csv,4.5360972e-06,5.2509799999832414e-14
41,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01024.csv,1.0212097e-05,1.2542245999942078e-13
42,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01042.csv,2.8641432e-06,-1.8722811280000034e-10
43,/run/media/einstein/Elements/CR160_data/CR160_-1353V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01042.csv,2.8625432e-06,-1.8885311100000043e-10
