LECROYHDO9204,30366,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Jan-2022 11:08:16,0                 
Time,Ampl
-8.0007628e-07,0.0003625
-7.9987628e-07,0.000154167
-7.9967628e-07,5e-05
-7.9947628e-07,0.000154167
-7.9927628e-07,-5.41667e-05
-7.9907628e-07,-0.000158333
-7.9887628e-07,-5.41667e-05
-7.9867628e-07,5e-05
-7.9847628e-07,0.000258333
-7.9827628e-07,0.000154167
-7.9807628e-07,5e-05
-7.9787628e-07,0.000154167
-7.9767628e-07,0.000154167
-7.9747628e-07,0.000154167
-7.9727628e-07,0.000258333
-7.9707628e-07,0.000570833
-7.9687628e-07,0.000466667
-7.9667628e-07,0.0003625
-7.9647628e-07,-5.41667e-05
-7.9627628e-07,0.000258333
-7.9607628e-07,0.000466667
-7.9587628e-07,0.0003625
-7.9567628e-07,0.000466667
-7.9547628e-07,0.000258333
-7.9527628e-07,0.000258333
-7.9507628e-07,0.0003625
-7.9487628e-07,0.000154167
-7.9467628e-07,0.000258333
-7.9447628e-07,0.000466667
-7.9427628e-07,0.0003625
-7.9407628e-07,-5.41667e-05
-7.9387628e-07,0.000154167
-7.9367628e-07,5e-05
-7.9347628e-07,5e-05
-7.9327628e-07,-5.41667e-05
-7.9307628e-07,5e-05
-7.9287628e-07,-5.41667e-05
-7.9267628e-07,5e-05
-7.9247628e-07,5e-05
-7.9227628e-07,0.000154167
-7.9207628e-07,0.000466667
-7.9187628e-07,0.0003625
-7.9167628e-07,0.000258333
-7.9147628e-07,0.0003625
-7.9127628e-07,5e-05
-7.9107628e-07,0.0003625
-7.9087628e-07,0.000154167
-7.9067628e-07,0.000466667
-7.9047628e-07,0.0003625
-7.9027628e-07,0.000258333
-7.9007628e-07,-5.41667e-05
-7.8987628e-07,0.000258333
-7.8967628e-07,0.0003625
-7.8947628e-07,0.000570833
-7.8927628e-07,0.000258333
-7.8907628e-07,0.000154167
-7.8887628e-07,0.000154167
-7.8867628e-07,0.000570833
-7.8847628e-07,0.000258333
-7.8827628e-07,-5.41667e-05
-7.8807628e-07,-5.41667e-05
