,File,Q,Pedestal,Trigger
0,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00000.csv,-1.853090138288496e-11,0.0017500618617882512,False
1,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00001.csv,1.9775292569838774e-11,0.0016590906425130204,True
2,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00002.csv,6.18563402726057e-11,0.00014462959876797966,True
3,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00003.csv,3.814886675504565e-11,0.0002744544620684994,True
4,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00004.csv,-1.174918367605767e-11,0.0013656219188641267,False
5,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00005.csv,2.2111561259427975e-12,0.000951452953500268,True
6,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00006.csv,3.591657580641096e-11,0.001432136161177177,False
7,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00007.csv,3.319154139973583e-11,0.0007402963985583065,False
8,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00008.csv,4.592749104213472e-11,0.0012258517291614663,False
9,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00009.csv,2.5731878614735538e-11,0.00040528500319811573,True
10,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00010.csv,-4.695945067978164e-10,0.0009985217021665272,True
11,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00011.csv,3.4722221942858015e-11,0.0007385001260680851,False
12,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00012.csv,5.58904129825918e-11,0.0012338782751523329,True
13,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00013.csv,-2.019746266286622e-11,0.00019404595372341578,True
14,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00014.csv,4.609725607620927e-11,0.0010154909204982139,True
15,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00015.csv,5.268934086808923e-11,0.0011414963387294044,False
16,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00016.csv,3.0899127460375704e-11,0.0009820696767938997,False
17,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00017.csv,1.2994187700092191e-11,0.001026614283622831,True
18,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00018.csv,6.875415182440742e-12,0.0007230200456778913,True
19,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00019.csv,-6.998946491239726e-11,6.457314446390562e-05,True
20,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00020.csv,-5.445506884222938e-10,0.0012066154448180124,True
21,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00021.csv,5.16937164935523e-12,0.0009917323048795172,True
22,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00022.csv,-5.057881979867295e-12,0.0008724628408613547,True
23,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00023.csv,-8.780860873212854e-11,0.0004020188534126282,True
24,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00024.csv,-1.8509770452571252e-10,0.0008472703420710987,True
25,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00025.csv,1.4065478600689824e-11,0.001969994289160988,False
26,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00026.csv,8.670725153063367e-11,0.00048797156858908214,False
27,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00027.csv,6.868954720836014e-11,0.0010417812900868674,False
28,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00028.csv,5.886297638930617e-11,0.0006594667722436651,True
29,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00029.csv,8.32649212444345e-11,0.0011761897229629822,True
30,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00030.csv,1.1058626553074678e-10,0.0002780193503827149,True
31,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00031.csv,-8.535157288965724e-11,0.0008410099348903821,True
32,/mnt/windows_file/DATA/_-300_-2400_-3000_LED_1KHz_9V_28ns_-656ns/C2--w--00032.csv,5.7464222472464514e-11,0.00040882176178191025,False
