File,Q,Trigger,pedestal
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--09503.csv,-1.6547061688566084e-14,False,3.750676001640389e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--05319.csv,4.252862464581636e-15,False,9.126676600369482e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--04353.csv,-2.910309576042172e-14,False,0.00010186069391019508
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--09569.csv,-9.136298537300335e-15,False,0.0001570730894812455
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--01344.csv,1.0244519937107613e-14,False,8.558532558950586e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--06676.csv,-6.766317862619294e-15,False,0.000218351380397791
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--02633.csv,2.7338478271251018e-14,False,7.665736212836051e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--01997.csv,-6.261119411703707e-14,False,0.00015299356540907023
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--01178.csv,3.0626206890780465e-14,False,0.00013063094722165912
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--00576.csv,-2.6772958795559088e-14,False,0.00014635099669879685
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--01800.csv,-3.174254487387515e-15,False,0.00015700901705967328
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--05626.csv,8.374243739841467e-14,False,4.628521740824345e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--01845.csv,5.407114517234291e-14,False,0.00010318494793931153
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--06215.csv,7.052535659239831e-14,False,0.00014914899311052596
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--03429.csv,3.347913277264604e-14,False,4.724636028296135e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--05243.csv,1.0535272136824743e-14,False,3.1697183042854154e-05
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--02311.csv,-4.6810402794089105e-14,False,0.00014263457076071995
/home/einstein/PycharmProjects/_-300V_-1800V_-2300V_LED_10KHz_9V_28ns_20us_2.5GHz/C1--w--09669.csv,1.6430875304568012e-14,False,7.212931447611519e-05
