File,Q,pedestal,a,b,lead_index1,lead_index2,raise_time,r2
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01889.csv,-3.1687500213372706e-11,0.0003372379964071,-544507.7954545432,-0.07290462501268494,1666,1677,4.248105199659678e-09,0.9283961384471555
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01893.csv,-4.1479172572354e-11,0.0002934713908183,-889995.5769230765,-0.1364993193929288,1618,1631,5.181420258960696e-09,0.9837869122618624
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01921.csv,-3.41874884831894e-11,0.0002867140538922,-699404.3791208867,-0.10105063229848005,1639,1653,5.513312982055662e-09,0.9659269042509134
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01969.csv,-4.974999940415714e-11,0.0002975257638722,-745237.7837977279,-0.10788503019369727,1639,1657,7.310446047615382e-09,0.9378951185760461
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01972.csv,-5.397917437474939e-11,0.0003240352730538,-1343118.636363619,-0.1163716839070949,1784,1794,4.0720365799186025e-09,0.9902749085037248
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01979.csv,-3.452083185180969e-11,0.000299604951497,-566789.1262254851,-0.07413273774820289,1672,1689,6.08636228463074e-09,0.9501444753355799
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01982.csv,-6.324999472856163e-11,0.0003185254437125,-1089171.2802197807,-0.17266502342454995,1604,1618,5.476475980679888e-09,0.9691243823639243
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--01989.csv,-4.29374962118332e-11,0.0002765261446107,-853794.5544642956,-0.12479013096826448,1635,1650,5.580448939122169e-09,0.9903898067836097
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02022.csv,-5.477082198000997e-11,0.0003937915962075,-710564.9830357156,-0.07445443779705813,1738,1753,5.899104764574792e-09,0.9785151197228544
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02025.csv,-4.29791542183358e-11,0.000241595965968,-610447.7426470567,-0.09800609089951157,1600,1616,5.848069414253585e-09,0.9782757506367612
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02058.csv,-5.0291657931841296e-11,0.0002796448754491,-658195.670329662,-0.08212531495249725,1689,1702,4.583822161650149e-09,0.9614682157800116
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02064.csv,-2.58750008903274e-11,0.0002147746275449,-1137152.5833333184,-0.17282365213567,1620,1629,3.2670687790601486e-09,0.9838142609454573
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02071.csv,-2.1270826823940575e-11,0.00017298322495,-386072.683566432,-0.048639078565595226,1686,1698,5.003520482504181e-09,0.9710411926747856
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02074.csv,-4.5791672008733677e-11,0.0002740311125748,-633223.5426691768,-0.10149388528121793,1599,1619,6.205114979612567e-09,0.9775890281645186
/run/media/einstein/Elements/CR160_data/CR160_-1400V_LED_3.7V_1kHz_29.8ns_20us_SyncTrigger/C4--w--02087.csv,-3.1791650379542166e-11,0.0003566783081836,-665349.6071428593,-0.08271312994327008,1688,1701,4.752398757887841e-09,0.9438183456700731
